10005035 ,7 ,9 ,7 ,8.25 ,5.4 ,6.5 ,5.5 ,7 ,8
12001459 ,8 ,7.5 ,7.75 ,6.75 ,7.75 ,8.25 ,7.5 ,7.75 ,6.25
12006475 ,8.4 ,8 ,6.8 ,7 ,6 ,5.5 ,5.2 ,8 ,5.75
12006888 ,8.8 ,7.25 ,8.25 ,5.4 ,6.5 ,7.5 ,7 ,6.25 ,6.25
12003996 ,7.4 ,6.25 ,6.75 ,7.75 ,8.25 ,5.2 ,7.75 ,5.75 ,7
21003939 ,7.2 ,8.5 ,7 ,6 ,5.5 ,7 ,8 ,6.25 ,7.2
11001467 ,7.2 ,7.5 ,5.4 ,6.5 ,7.5 ,7.75 ,6.25 ,7 ,7.5
01042244 ,6.6 ,5.5 ,7.75 ,8.25 ,5.2 ,8 ,5.75 ,7.2 ,7.25
12005504 ,6.8 ,7 ,6 ,5.5 ,7 ,6.25 ,6.25 ,7.5 ,6
15009592 ,8.2 ,7 ,6.5 ,7.5 ,7.75 ,5.75 ,7 ,7.25 ,7.25
12006988 ,7.2 ,7 ,8.25 ,5.2 ,8 ,6.25 ,7.2 ,6 ,6.5
12007541 ,9 ,7 ,5.5 ,7 ,6.25 ,7 ,7.5 ,7.25 ,5.25
18005598 ,8.4 ,5.5 ,7.5 ,7.75 ,5.75 ,7.2 ,7.25 ,6.5 ,7.75
12002393 ,8.2 ,7.75 ,5.2 ,8 ,6.25 ,7.5 ,6 ,5.25 ,5
12005649 ,6.4 ,5.5 ,7 ,6.25 ,7 ,7.25 ,7.25 ,7.75 ,5.75
12006929 ,7.6 ,6.75 ,7.75 ,5.75 ,7.2 ,6 ,6.5 ,5 ,5.8
12008459 ,8.8 ,5.25 ,8 ,6.25 ,7.5 ,7.25 ,5.25 ,5.75 ,6.75
01036826 ,7.6 ,5 ,6.25 ,7 ,7.25 ,6.5 ,7.75 ,5.8 ,7.25
12003836 ,7.8 ,5.25 ,5.75 ,7.2 ,6 ,5.25 ,5 ,6.75 ,7
11002001 ,6.2 ,6 ,6.25 ,7.5 ,7.25 ,7.75 ,5.75 ,7.25 ,4.2
12000183 ,6.4 ,5 ,7 ,7.25 ,6.5 ,5 ,5.8 ,7 ,5
12001357 ,8.2 ,6 ,7.2 ,6 ,5.25 ,5.75 ,6.75 ,4.2 ,6.75
12001515 ,7.2 ,6.75 ,7.5 ,7.25 ,7.75 ,5.8 ,7.25 ,5 ,6.75
12002812 ,7.4 ,3.75 ,7.25 ,6.5 ,5 ,6.75 ,7 ,6.75 ,6.8
12005105 ,8.2 ,7.25 ,6 ,5.25 ,5.75 ,7.25 ,4.2 ,6.75 ,8
12005981 ,6 ,8.25 ,7.25 ,7.75 ,5.8 ,7 ,5 ,6.8 ,5.2
12007016 ,8 ,6 ,6.5 ,5 ,6.75 ,4.2 ,6.75 ,8 ,6.25
12007751 ,8.2 ,7 ,5.25 ,5.75 ,7.25 ,5 ,6.75 ,5.2 ,5.4
12011380 ,6.6 ,7.25 ,7.75 ,5.8 ,7 ,6.75 ,6.8 ,6.25 ,7.75
10005095 ,5.2 ,8 ,5 ,6.75 ,4.2 ,6.75 ,8 ,5.4 ,5.2
11001510 ,6.6 ,6 ,5.75 ,7.25 ,5 ,6.8 ,5.2 ,7.75 ,6
11002151 ,4 ,8.5 ,5.8 ,7 ,6.75 ,8 ,6.25 ,5.2 ,5.2
12001288 ,7.4 ,7 ,6.75 ,4.2 ,6.75 ,5.2 ,5.4 ,6 ,5.5
12005545 ,6 ,5 ,7.25 ,5 ,6.8 ,6.25 ,7.75 ,5.2 ,6.25
12001292 ,7.6 ,6.5 ,7 ,6.75 ,8 ,5.4 ,5.2 ,5.5 ,6
12001375 ,8.8 ,8 ,4.2 ,6.75 ,5.2 ,7.75 ,6 ,6.25 ,5.25
12003598 ,6.2 ,6.75 ,5 ,6.8 ,6.25 ,5.2 ,5.2 ,6 ,5
12005806 ,9.2 ,4 ,6.75 ,8 ,5.4 ,6 ,5.5 ,5.25 ,5.2
12007100 ,8 ,6.25 ,6.75 ,5.2 ,7.75 ,5.2 ,6.25 ,5 ,4.4
12007300 ,7 ,7.25 ,6.8 ,6.25 ,5.2 ,5.5 ,6 ,5.2 ,4.2
12008753 ,6.8 ,6.25 ,8 ,5.4 ,6 ,6.25 ,5.25 ,4.4 ,7.5
12010251 ,6.8 ,8.5 ,5.2 ,7.75 ,5.2 ,6 ,5 ,4.2 ,4.6
25011157 ,7.6 ,6.75 ,6.25 ,5.2 ,5.5 ,5.25 ,5.2 ,7.5 ,6.5
26015676 ,8 ,7 ,5.4 ,6 ,6.25 ,5 ,4.4 ,4.6 ,4.4
09005657 ,6.6 ,5.5 ,7.75 ,5.2 ,6 ,5.2 ,4.2 ,6.5 ,6.25
12004256 ,6.8 ,7.75 ,5.2 ,5.5 ,5.25 ,4.4 ,7.5 ,4.4 ,5.25
12005148 ,7.8 ,7 ,6 ,6.25 ,5 ,4.2 ,4.6 ,6.25 ,3.6
12005408 ,6.6 ,6 ,5.2 ,6 ,5.2 ,7.5 ,6.5 ,5.25 ,4.5
12005424 ,6.2 ,6 ,5.5 ,5.25 ,4.4 ,4.6 ,4.4 ,3.6 ,6
12008563 ,6.6 ,6 ,6.25 ,5 ,4.2 ,6.5 ,6.25 ,4.5 ,4.6
12009164 ,7.2 ,5.5 ,6 ,5.2 ,7.5 ,4.4 ,5.25 ,6 ,4.4
12010935 ,6.4 ,6 ,5.25 ,4.4 ,4.6 ,6.25 ,3.6 ,4.6 ,7.4
15011992 ,6.8 ,6 ,5 ,4.2 ,6.5 ,5.25 ,4.5 ,4.4 ,7
26006913 ,7.6 ,7.5 ,5.2 ,7.5 ,4.4 ,3.6 ,6 ,7.4 ,6.25
10001436 ,4 ,9 ,4.4 ,4.6 ,6.25 ,4.5 ,4.6 ,7 ,6
12000424 ,7.2 ,6 ,4.2 ,6.5 ,5.25 ,6 ,4.4 ,6.25 ,6.2
12001213 ,7.6 ,5.5 ,7.5 ,4.4 ,3.6 ,4.6 ,7.4 ,6 ,6.2
12004570 ,7.2 ,7.75 ,4.6 ,6.25 ,4.5 ,4.4 ,7 ,6.2 ,5.8
12008513 ,7.4 ,6.5 ,6.5 ,5.25 ,6 ,7.4 ,6.25 ,6.2 ,5
12009355 ,5.4 ,7.75 ,4.4 ,3.6 ,4.6 ,7 ,6 ,5.8 ,6.5
15007220 ,7 ,6.75 ,6.25 ,4.5 ,4.4 ,6.25 ,6.2 ,5 ,5.4
25017041 ,8.4 ,6.25 ,5.25 ,6 ,7.4 ,6 ,6.2 ,6.5 ,5.75
10001545 ,5 ,8.75 ,3.6 ,4.6 ,7 ,6.2 ,5.8 ,5.4 ,6
12000062 ,6.8 ,6 ,4.5 ,4.4 ,6.25 ,6.2 ,5 ,5.75 ,4.6
12003810 ,7.4 ,5.75 ,6 ,7.4 ,6 ,5.8 ,6.5 ,6 ,3.2
12003825 ,6 ,6.75 ,4.6 ,7 ,6.2 ,5 ,5.4 ,4.6 ,5.5
12005144 ,7.4 ,8.5 ,4.4 ,6.25 ,6.2 ,6.5 ,5.75 ,3.2 ,4.6
12007080 ,6.6 ,6.25 ,7.4 ,6 ,5.8 ,5.4 ,6 ,5.5 ,6.75
12007117 ,7.4 ,5.75 ,7 ,6.2 ,5 ,5.75 ,4.6 ,4.6 ,6.5
12009514 ,6.2 ,6.75 ,6.25 ,6.2 ,6.5 ,6 ,3.2 ,6.75 ,6.75
12010238 ,7.2 ,6.5 ,6 ,5.8 ,5.4 ,4.6 ,5.5 ,6.5 ,5.6
12010423 ,6.4 ,7.25 ,6.2 ,5 ,5.75 ,3.2 ,4.6 ,6.75 ,6.75
12010788 ,5.8 ,7.25 ,6.2 ,6.5 ,6 ,5.5 ,6.75 ,5.6 ,3.4
12011478 ,7 ,7.5 ,5.8 ,5.4 ,4.6 ,4.6 ,6.5 ,6.75 ,7.25
18005659 ,7.4 ,6.75 ,5 ,5.75 ,3.2 ,6.75 ,6.75 ,3.4 ,6.75
21002429 ,7 ,6.25 ,6.5 ,6 ,5.5 ,6.5 ,5.6 ,7.25 ,5
22009694 ,6.6 ,7.75 ,5.4 ,4.6 ,4.6 ,6.75 ,6.75 ,6.75 ,6.25
28021747 ,7 ,7 ,5.75 ,3.2 ,6.75 ,5.6 ,3.4 ,5 ,6
09005586 ,5.2 ,5.75 ,6 ,5.5 ,6.5 ,6.75 ,7.25 ,6.25 ,4.6
11000663 ,5.2 ,7.25 ,4.6 ,4.6 ,6.75 ,3.4 ,6.75 ,6 ,6
12000014 ,6.6 ,7.25 ,3.2 ,6.75 ,5.6 ,7.25 ,5 ,4.6 ,6.6
12005419 ,7 ,6.5 ,5.5 ,6.5 ,6.75 ,6.75 ,6.25 ,6 ,5
12005420 ,6.4 ,6 ,4.6 ,6.75 ,3.4 ,5 ,6 ,6.6 ,5.6
12005553 ,6 ,6.25 ,6.75 ,5.6 ,7.25 ,6.25 ,4.6 ,5 ,6.2
12007335 ,8 ,4.5 ,6.5 ,6.75 ,6.75 ,6 ,6 ,5.6 ,5.25
12007549 ,5.2 ,7 ,6.75 ,3.4 ,5 ,4.6 ,6.6 ,6.2 ,5.5
12007617 ,5.8 ,7.5 ,5.6 ,7.25 ,6.25 ,6 ,5 ,5.25 ,5.25
12007769 ,6.2 ,6 ,6.75 ,6.75 ,6 ,6.6 ,5.6 ,5.5 ,4.8
12012387 ,6 ,7.5 ,3.4 ,5 ,4.6 ,5 ,6.2 ,5.25 ,6.5
19006207 ,7.4 ,4.75 ,7.25 ,6.25 ,6 ,5.6 ,5.25 ,4.8 ,4.4
28011191 ,8 ,4.25 ,6.75 ,6 ,6.6 ,6.2 ,5.5 ,6.5 ,7.25
12001549 ,8 ,6.75 ,5 ,4.6 ,5 ,5.25 ,5.25 ,4.4 ,6
12001572 ,8 ,5.5 ,6.25 ,6 ,5.6 ,5.5 ,4.8 ,7.25 ,4.75
12004368 ,6.4 ,6.25 ,6 ,6.6 ,6.2 ,5.25 ,6.5 ,6 ,5
12004374 ,5.4 ,6.75 ,4.6 ,5 ,5.25 ,4.8 ,4.4 ,4.75 ,5.2
12005990 ,6.4 ,6.25 ,6 ,5.6 ,5.5 ,6.5 ,7.25 ,5 ,4.75
12007085 ,5.2 ,8 ,6.6 ,6.2 ,5.25 ,4.4 ,6 ,5.2 ,3.6
12007370 ,6.6 ,7.25 ,5 ,5.25 ,4.8 ,7.25 ,4.75 ,4.75 ,4.75
12008414 ,6.8 ,7.25 ,5.6 ,5.5 ,6.5 ,6 ,5 ,3.6 ,2.8
17012753 ,7.4 ,6.25 ,6.2 ,5.25 ,4.4 ,4.75 ,5.2 ,4.75 ,5
08000443 ,7.8 ,5.5 ,5.25 ,4.8 ,7.25 ,5 ,4.75 ,2.8 ,5.5
08004596 ,6.4 ,6.5 ,5.5 ,6.5 ,6 ,5.2 ,3.6 ,5 ,6.2
10004733 ,5 ,6.25 ,5.25 ,4.4 ,4.75 ,4.75 ,4.75 ,5.5 ,3.6
12000469 ,4.8 ,7 ,4.8 ,7.25 ,5 ,3.6 ,2.8 ,6.2 ,4.4
12001214 ,7.6 ,5.5 ,6.5 ,6 ,5.2 ,4.75 ,5 ,3.6 ,4
12002321 ,7 ,7 ,4.4 ,4.75 ,4.75 ,2.8 ,5.5 ,4.4 ,5.2
12002628 ,4.8 ,4.5 ,7.25 ,5 ,3.6 ,5 ,6.2 ,4 ,6.25
12006408 ,6.4 ,7 ,6 ,5.2 ,4.75 ,5.5 ,3.6 ,5.2 ,4.6
12007530 ,7.4 ,6.25 ,4.75 ,4.75 ,2.8 ,6.2 ,4.4 ,6.25 ,5
12008932 ,6.8 ,6.75 ,5 ,3.6 ,5 ,3.6 ,4 ,4.6 ,6.5
12011198 ,4.2 ,9 ,5.2 ,4.75 ,5.5 ,4.4 ,5.2 ,5 ,5.6
